Runner ,Year ,Secs 
Wyomia Tyus ,1968,11.08
Renate Stecher ,1972,11.07
Ingeborg Helten ,1976,11.04
Annegret Richter ,1976,11.01
Marlies Gohr ,1977,10.88
Marlies Gohr ,1983,10.81
Evelyn Ashford ,1983,10.79
Evelyn Ashford ,1984,10.76
Florence Grifith-Joyner ,1988,10.49
