Runner,Year,Sec
Jim Hines ,1968,9.95
Calvin Smith ,1983,9.93
Carl Lewis ,1988,9.92
Leroy Burrell ,1994,9.85
Donovan Bailey ,1996,9.84
Maurice Greene ,1999,9.79
Asafa Powell ,2005,9.77
Asafa Powell ,2007,9.74
Usain Bolt ,2009,9.58
