Handle ,Length ,Notch 
10,73,1.2
12,75,1.2
12,75,1.3
15,75,1.3
14,76,1.3
14,76,1.4
16,78,1.5
15,78,1.5
15,82,1.5
15,84,1.5
16,88,1.5
17,78,1.6
17,77,1.5
25,84,1.8
15,90,1.7
16,89,1.7
23,92,1.6
26,85,1.8
20,88,2
16,85,1.8
